title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,artist.gender,lyrics.ease.score
Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10,57,243,2,4,73,F,99.33
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,72,F,99.43
Love,Lana Del Rey,art pop,2017,99,37,53,-11,11,23,273,49,3,72,F,106.67
All I Ask,Adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71,F,106.67
The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,71,F,107.28
24K Magic,Bruno Mars,pop,2017,107,80,82,-4,15,63,226,3,8,69,M,98.21
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,-5,8,55,202,20,5,69,M,104.84
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,-3,30,65,208,1,6,69,F,96.28
Bon app̩tit,Katy Perry,dance pop,2017,106,79,80,-6,22,52,228,13,6,68,F,98.92
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,-9,20,14,261,2,13,67,F,79.87
Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62,F,114.32
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59,M,107.08
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54,F,74.25
Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54,F,96.89
Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53,M,96.69
Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49,F,105.25
Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44,F,108.09
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,M,46.64
New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84,F,105.35
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84,M,89.14
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84,F,105.96
IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84,F,105.76
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83,M,99.53
Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83,F,106.57
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83,M,104.34
Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82,F,89.85
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,2,23,81,F,97.4
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,80,F,99.12
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,2,10,78,M,105.96
Perfect Duet (Ed Sheeran & Beyonc̩),Ed Sheeran,pop,2018,95,30,59,-7,12,36,260,78,3,78,M,96.18
